DATE,MRTSSM7225USN_20230118,MRTSSM7225USN_20230215
2019-01-01,50003,50003
2019-02-01,49740,49740
2019-03-01,57912,57912
2019-04-01,55371,55371
2019-05-01,59375,59375
2019-06-01,58610,58610
2019-07-01,59081,59081
2019-08-01,59876,59876
2019-09-01,54574,54574
2019-10-01,56546,56546
2019-11-01,55058,55058
2019-12-01,58452,58452
2020-01-01,54773,54773
2020-02-01,55733,55733
2020-03-01,42948,42948
2020-04-01,28161,28161
2020-05-01,40687,40687
2020-06-01,49679,49679
2020-07-01,52664,52664
2020-08-01,54107,54107
2020-09-01,52069,52069
2020-10-01,54596,54596
2020-11-01,48612,48612
2020-12-01,49609,49609
2021-01-01,50741,50741
2021-02-01,48074,48074
2021-03-01,62126,62126
2021-04-01,64024,64024
2021-05-01,69154,69154
2021-06-01,69163,69163
2021-07-01,72885,72885
2021-08-01,69588,69588
2021-09-01,65722,65722
2021-10-01,69027,69027
2021-11-01,64830,64830
2021-12-01,69543,69543
2022-01-01,62002,62002
2022-02-01,63755,63755
2022-03-01,74083,74083
2022-04-01,75364,75364
2022-05-01,78567,78567
2022-06-01,76718,76718
2022-07-01,78939,78939
2022-08-01,78204,78204
2022-09-01,74528,74528
2022-10-01,77253,77253
