year,sales in millions,sales in trillions
2019,50003,5.0003e-05
2019,49740,4.974e-05
2019,57912,5.7912000000000004e-05
2019,55371,5.5371e-05
2019,59375,5.937500000000001e-05
2019,58610,5.861e-05
2019,59081,5.9081000000000006e-05
2019,59876,5.9876e-05
2019,54574,5.4574e-05
2019,56546,5.6546000000000004e-05
2019,55058,5.5058e-05
2019,58452,5.8452e-05
2020,54773,5.4773000000000006e-05
2020,55733,5.5733e-05
2020,42948,4.2948e-05
2020,28161,2.8161e-05
2020,40687,4.0687000000000005e-05
2020,49679,4.9679e-05
2020,52664,5.2664e-05
2020,54107,5.4107e-05
2020,52069,5.2069000000000006e-05
2020,54596,5.4596000000000004e-05
2020,48612,4.8612e-05
2020,49609,4.9609000000000006e-05
2021,50741,5.0741e-05
2021,48074,4.8074e-05
2021,62126,6.212600000000001e-05
2021,64024,6.402400000000001e-05
2021,69154,6.915400000000001e-05
2021,69163,6.9163e-05
2021,72885,7.2885e-05
2021,69588,6.9588e-05
2021,65722,6.5722e-05
2021,69027,6.9027e-05
2021,64830,6.483e-05
2021,69543,6.954300000000001e-05
2022,62002,6.200200000000001e-05
2022,63755,6.3755e-05
2022,74083,7.4083e-05
2022,75364,7.5364e-05
2022,78567,7.856700000000001e-05
2022,76718,7.6718e-05
2022,78939,7.893900000000001e-05
2022,78204,7.8204e-05
2022,74528,7.4528e-05
2022,77253,7.7253e-05
