DATE,IPUTN722511W200000000
1987-01-01,2938.8
1988-01-01,3033.8
1989-01-01,3111.0
1990-01-01,3171.5
1991-01-01,3158.4
1992-01-01,3215.1
1993-01-01,3319.5
1994-01-01,3442.7
1995-01-01,3555.3
1996-01-01,3635.8
1997-01-01,3705.1
1998-01-01,3740.8
1999-01-01,3818.0
2000-01-01,3897.7
2001-01-01,3980.7
2002-01-01,4040.2
2003-01-01,4137.9
2004-01-01,4259.6
2005-01-01,4357.9
2006-01-01,4482.2
2007-01-01,4618.5
2008-01-01,4619.0
2009-01-01,4511.4
2010-01-01,4518.3
2011-01-01,4647.7
2012-01-01,4801.6
2013-01-01,4956.2
2014-01-01,5082.8
2015-01-01,5252.0
2016-01-01,5395.1
2017-01-01,5481.8
2018-01-01,5533.7
2019-01-01,5573.4
2020-01-01,4236.6
2021-01-01,4625.3
